Site,nYear,PFT,Latitude,Longitude,VPD_SM_Site,VPD_SM_Site_SM2,VPD_SM_Site_SM3,VPD_SM_Site_SM4
US-KS1,1,ENF,28.4583,-80.6709,NA,NA,NA,NA
US-KS2,4,SH,28.6086,-80.6715,NA,NA,NA,NA
US-Lin,2,CRO,36.3566,-119.8423,NA,NA,NA,NA
US-Los,15,WET,46.0827,-89.9792,NA,NA,NA,NA
US-LWW,NA,GRA,34.9604,-97.9789,NA,NA,NA,NA
US-Me1,2,ENF,44.5794,-121.5,NA,NA,NA,NA
US-Me2,13,ENF,44.4523,-121.5574,US-Me2,NA,NA,NA
US-Me3,6,ENF,44.3154,-121.6078,US-Me3,NA,NA,NA
US-Me4,NA,ENF,44.4992,-121.6224,US-Me4,NA,NA,NA
US-Me5,3,ENF,44.43719,-121.56676,NA,NA,NA,NA
US-Me6,5,ENF,44.3232842,-121.6078,US-Me6,NA,NA,NA
US-MMS,16,DBF,39.3232,-86.4131,US-MMS,NA,NA,NA
US-Myb,5,WET,38.049861,-121.76498,NA,NA,NA,NA
US-Ne1,13,CRO,41.16506,-96.47664,US-Ne1,NA,NA,NA
US-Ne2,13,CRO,41.16487,-96.4701,US-Ne2,NA,NA,NA
US-Ne3,13,CRO,41.17967,-96.43965,US-Ne3,NA,NA,NA
US-NR1,17,ENF,40.0329,-105.5464,US-NR1,NA,NA,NA
US-Oho,10,DBF,41.5545,-83.8438,US-Oho,NA,NA,NA
US-ORv,1,WET,40.0201,-83.0183,NA,NA,NA,NA
US-PFa,20,MF,45.9459,-90.2723,US-PFa,NA,NA,NA
US-Prr,5,ENF,65.12367,-147.48756,US-Prr,US-Prr,NA,NA
US-SRC,7,SH,31.9083,-110.8395,US-SRC,NA,NA,NA
US-SRG,7,GRA,31.789379,-110.827675,US-SRG,NA,NA,NA
US-SRM,11,WSH,31.8214,-110.8661,US-SRM,NA,NA,NA
US-Sta,5,SH,41.3966,-106.8024,US-Sta,NA,NA,NA
US-Syv,14,MF,46.242,-89.3477,US-Syv,NA,NA,NA
US-Ton,14,WSH,38.4316,-120.96598,US-Ton,NA,NA,NA
US-Tw1,3,WET,38.1074,-121.6469,NA,NA,NA,NA
US-Tw2,2,CRO,38.1047,-121.6433,NA,NA,NA,NA
US-Tw3,2,CRO,38.1159,-121.6467,NA,NA,NA,NA
US-Tw4,2,WET,38.10298,-121.6414,NA,NA,NA,NA
US-Twt,6,CRO,38.1087204,-121.6531,NA,NA,NA,NA
US-UMB,15,DBF,45.5598,-84.7138,US-UMB,NA,NA,NA
US-UMd,8,DBF,45.5625,-84.6975,US-UMd,NA,NA,NA
US-Var,15,GRA,38.4133,-120.9507,US-Var,NA,NA,NA
US-WCr,16,DBF,45.8059,-90.0799,US-WCr,NA,NA,NA
US-Whs,8,SH,31.7438,-110.0522,US-Whs,NA,NA,NA
US-Wi0,1,ENF,46.618778,-91.081444,NA,NA,NA,NA
US-Wi1,1,DBF,46.730472,-91.232944,NA,NA,NA,NA
US-Wi2,1,ENF,46.686889,-91.152833,NA,NA,NA,NA
US-Wi3,3,DBF,46.634722,-91.098667,NA,NA,NA,NA
US-Wi4,4,ENF,46.739333,-91.16625,NA,NA,NA,NA
US-Wi5,1,ENF,46.653083,-91.085806,NA,NA,NA,NA
US-Wi6,2,SH,46.624889,-91.298222,NA,NA,NA,NA
US-Wi7,1,SH,46.649111,-91.069278,NA,NA,NA,NA
US-Wi8,1,DBF,46.722333,-91.252417,NA,NA,NA,NA
US-Wi9,2,ENF,46.618778,-91.081444,NA,NA,NA,NA
US-Wkg,11,GRA,31.7365,-109.9419,US-Wkg,NA,NA,NA
US-WPT,3,WET,41.464639,-82.996157,NA,NA,NA,NA
ZM-Mon,10,DBF,-15.4391,23.2525,ZM-Mon,ZM-Mon,ZM-Mon,NA
