"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
34.42,1111,34.856,4,"SAV",6,8.19997
31.08,274,31.6,3.2,"SAV",5,6.15291
20.01,62.49,17.26,2.83,"WSA",39,0.502464
25.05,253.71,6.61,18.651,"CSH",31,6.12742
36.37,268.5,46.706,9.3,"SAV",36,2.50216
20.83,231,16.248,5.3,"SAV",2,1.06939
27.96,386.8,30.98,3,"OSH",42,2.58254
27.37,190.1,17.44,4.8,"WSA",39,6.45757
22.6,179,16.458,3.1,"SAV",3,3.65034
37.7,975,50.201,3.6,"SAV",5,8.05403
22.67,719.681,15.53,6.2,"WSA",40,4.0857
25.79,585,25.238,4.3,"SAV",3,3.28216
20.19,580,17.039,4.2,"SAV",2,4.3742
32.33,919,21.804,6,"SAV",6,10.0822
31.03,467.6,21.4,8.8,"SAV",36,11.3483
19.18,574,16.227,7.9,"SAV",2,1.03784
21.96,463.5,16.81,5.39,"WSA",39,6.32405
29.74,913.916,27.99,6.5,"WSA",40,4.81696
25.72,988,19.512,10.4,"SAV",2,11.1487
29.13,187,18.974,5.8,"WSA",7,6.56224
34.23,257.256,47.13,9.2,"WSA",40,2.2361
34.41,885,31.027,6.9,"WSA",7,10.7343
16.17,326,11.032,3.6,"SAV",3,2.77514
33.93,618,29.679,7.6,"WSA",7,11.5812
30.69,768,25.607,3.6,"SAV",5,11.7855
26.19,507.79,17.069,17.36,"CSH",31,6.26027
27.88,932.58,15.018,17.796,"CSH",31,4.72445
31.59,826,19.517,7.1,"WSA",7,13.7372
22.75,439,21.314,4.7,"SAV",2,0.941126
18.89,364,17.682,3.3,"SAV",2,0.774988
32.96,591,28.615,5,"SAV",5,11.3259
18.042,650.52,7.603,12.805,"OSH",22,3.58431
28.76,504.9,22.71,5.87,"WSA",39,7.4368
19.67,114.38,7.746,19.121,"CSH",31,4.77258
26.85,575,13.433,3.4,"SAV",5,7.74939
24.1,1003,24.022,4,"SAV",2,5.09212
22.02,872,23.25,3.58,"WSA",39,2.74797
27.56,612,26.533,3,"SAV",5,9.67021
26.43,917.295,20.98,8.4,"WSA",40,8.26973
32,878,25.207,5,"SAV",6,16.1661
30.06,747,22.997,7.1,"WSA",7,14.4251
26.58,542.346,20.62,8.3,"WSA",40,3.2756
23.21,434.393,17.78,10.5,"WSA",40,7.92347
33.53,784.9,37.1,4,"OSH",42,6.31739
26.41,624,12.056,8.8,"WSA",7,17.3618
23.98,190.5,22.89,2.96,"WSA",39,3.64831
25.17,663.817,22.26,8.4,"WSA",40,6.04232
26.7,700,30.485,3.6,"SAV",3,2.29443
26.79,101,31.703,3.8,"SAV",3,1.04521
29.72,962.822,33.49,9.4,"WSA",40,8.91099
30.59,669,26.34,6,"SAV",6,13.2415
28.86,571,32.193,8.1,"WSA",7,13.3099
31.85,434.2,23.424,9.9,"SAV",36,8.29079
22.14,363,9.069,7.7,"WSA",7,11.1801
22.96,935,24.11,2.78,"WSA",39,3.49166
23.46,425.37,8.899,16.823,"CSH",31,5.09263
26.66,104,25.869,3.5,"SAV",5,4.93445
26.9,172,24.463,4,"SAV",6,4.97801
32.16,864,21.596,5.9,"SAV",6,6.56099
32,895,25.598,8,"SAV",36,7.87956
32.339,464.638,34.81,16.975,"OSH",10,4.55101
31.24,485,33.711,4,"SAV",6,7.22985
31.76,253,26.744,5.4,"WSA",7,5.96076
24.57,684.7,25.09,1,"OSH",42,1.39862
26.76,912.83,10.409,17.499,"CSH",31,7.41511
30.33,466,27.681,8.7,"WSA",7,10.7718
29.84,895,25.61,6,"OSH",42,7.2839
25.13,588,15.008,3.6,"SAV",5,8.0853
24.47,168.2,24.56,1.88,"WSA",39,0.46713
27.76,893,29.827,2.8,"SAV",5,10.0097
36.61,285,48.54,3.4,"SAV",5,4.23232
32.4,912,36.484,5.5,"SAV",2,4.53673
32.16,881.908,37.23,6.8,"WSA",40,3.15557
15.94,64.481,5.291,18.429,"CSH",31,3.80266
17.81,212,14.484,4.5,"SAV",3,1.82023
30.1,80,28.599,2.9,"SAV",5,1.6638
29.93,510,17.151,8.2,"SAV",36,16.1947
36.76,523,37.788,7,"WSA",7,6.64513
22.84,63,11.411,4.1,"SAV",5,7.7483
29.04,326,12.45,6.9,"WSA",7,14.8968
31.11,145,24.871,6.7,"WSA",7,3.72738
27.15,717,20.148,3.1,"SAV",5,8.35506
18.37,1023.14,14.775,12.607,"OSH",23,1.68142
27.95,688.3,30.38,3.05,"WSA",39,3.40107
20.48,144,7.71,3.4,"SAV",5,5.13989
35.56,497,38.283,6,"SAV",6,6.22372
31.21,776,40.93,3,"SAV",2,0.161703
34.04,503,37.86,4,"SAV",6,6.18097
23.48,892.23,14.811,22.564,"CSH",31,4.7915
27.18,593,28.112,3.3,"SAV",5,10.7575
25.12,708,21.382,3.5,"SAV",5,8.65034
34.36,821,33.655,3.9,"SAV",5,17.2454
27.16,846.93,14.04,16.118,"CSH",31,6.98411
22.93,889.86,6.52,23.61,"CSH",31,14.1785
28.99,481,12.013,6.7,"WSA",7,11.8803
28.45,593,32.99,5.1,"SAV",5,6.74958
32.16,783,32.154,6.8,"WSA",7,12.0783
28.47,746,34.194,5.8,"WSA",7,9.14519
30.17,905,21.429,6.8,"WSA",7,8.61659
35.08,839,35.589,4,"SAV",6,6.34613
20.12,356,12.018,9.3,"SAV",2,2.7677
