"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
24.2,666.9,15.8,45.7,"GRA",37,18.927
15.637,397.98,8.753,57.739,"GRA",12,36.6357
28.4,570,10.062,15.9,"GRA",4,12.95
12.35,640.99,9.544,38.85,"GRA",17,19.5806
20.94,741.73,9.042,33,"GRA",1,34.4363
21.55,683.9,15.259,40.477,"GRA",17,27.1199
19.372,642.02,5.52,19.498,"GRA",41,18.5766
19.232,854.58,16.55,18.086,"GRA",41,15.6358
19.97,470.4,5.761,44.675,"GRA",15,19.3912
19.111,791.93,9.88,13.18,"GRA",41,5.636
20.117,825.05,11.04,50.094,"GRA",30,16.0682
22.5,192.8,9.91,45.9,"GRA",37,11.6102
17.038,738.42,6.186,49.143,"GRA",30,25.795
21.845,724.71,22.075,40.304,"GRA",12,16.3338
30.17,1017,16.714,25.1,"GRA",8,4.61882
22.41,264.783,6.66,12,"GRA",38,13.7263
23.601,929.78,10.815,31.147,"GRA",14,23.3401
21.58,669.6,12.468,27.15,"GRA",15,22.944
23.8,386.4,5.51,38.4,"GRA",37,11.5938
16.14,852,5.918,45.6,"GRA",15,10.1547
18.2,678.9,10.98,45.5,"GRA",37,15.5742
20.708,771.92,8.456,44.362,"GRA",14,16.5344
16.554,256.51,10.5,16.727,"GRA",41,5.7108
17.755,841.31,5.189,39.944,"GRA",14,38.813
29.64,959.131,24.48,9.81,"GRA",38,10.8568
17.077,744.25,5.45,20.37,"GRA",41,24.342
17.047,545.167,8.816,26.213,"GRA",17,19.8931
14.155,412.39,5.01,23.201,"GRA",41,15.8636
16.439,544.42,7.155,46.344,"GRA",30,17.7629
15.54,908.76,5.361,41.726,"GRA",30,22.7641
17.05,446.233,5.857,44.563,"GRA",17,17.5226
12.53,202.31,6.407,34.55,"GRA",17,12.6027
17.859,459.345,7.375,27.335,"GRA",1,20.4854
24.12,770.7,20.33,17,"GRA",43,6.94174
19,76,6.6,30,"GRA",37,3.28028
23.95,821.64,12.491,27.915,"GRA",14,37.5973
18.26,594.82,7.204,45.32,"GRA",17,23.7016
16.716,846.36,6.877,38.193,"GRA",14,43.8022
18.591,619.245,10.083,29.559,"GRA",1,13.846
21.74,421.45,11.865,33,"GRA",1,13.991
31.09,647,24.391,17,"GRA",8,7.02611
16.2,335.5,6.84,33.075,"GRA",15,16.5211
24.311,601.28,20.41,18.389,"GRA",41,20.1998
12.5,284,6.525,40.592,"GRA",27,0.889423
25.11,264.101,13.06,19,"GRA",43,3.62977
18.071,346.45,11.05,15.966,"GRA",41,11.0329
21.4,392.07,5.532,41.11,"GRA",17,18.9943
25.27,526.56,17.253,29.56,"GRA",17,19.5548
18.623,832.444,12.025,31.983,"GRA",16,15.0087
17.968,78.44,8.387,29.392,"GRA",1,1.39036
11.305,568.399,5.12,37.081,"GRA",16,16.915
19.892,387.62,9.732,41.923,"GRA",30,16.0462
19.462,899.61,6.841,32.989,"GRA",14,22.2482
14.039,234.76,6.125,48.567,"GRA",14,9.54498
28.515,860.91,17.462,35.317,"GRA",12,13.9825
7.785,77.912,5.307,60.212,"GRA",12,14.5183
15.977,945.28,7.489,40.273,"GRA",14,23.4228
26.294,559.886,22.634,18.406,"GRA",1,31.5863
15.053,1029.2,7.181,38.19,"GRA",14,33.9643
9.167,248.6,6.56,15.02,"GRA",41,13.9724
21.1,620.9,19.24,32.5,"GRA",37,15.0157
16.765,226.165,6.175,30.672,"GRA",16,13.0301
18,429.05,10.645,35,"GRA",1,27.9264
27.152,853.696,20.852,25.653,"GRA",1,40.1547
18.38,286.9,10.51,19.42,"GRA",41,5.41722
16.613,823.6,7.671,46.732,"GRA",30,11.5591
24.23,495.97,10.05,40.23,"GRA",17,17.7842
23.906,676.1,11.535,43.774,"GRA",14,33.0093
11.845,679.02,5.56,26.037,"GRA",41,9.65707
22.364,972.05,8.11,36.045,"GRA",14,27.7891
34.04,1036,35.194,16.9,"GRA",8,5.81676
28.1,575.7,23.94,33.8,"GRA",37,20.5645
34.18,652,31.17,16.2,"GRA",8,8.10567
29.17,973,12.948,24.8,"GRA",8,5.9536
30.245,717.05,25.06,20.792,"GRA",14,34.2329
13.84,736.3,9.309,34.03,"GRA",17,28.7543
13.26,561.6,9.442,38,"GRA",1,14.9768
18.928,721.67,7.82,52.838,"GRA",12,34.2755
19.19,184.44,9.415,26,"GRA",1,15.5696
16.35,86.44,7.936,37.059,"GRA",1,11.4299
29.21,896,28.422,15.767,"GRA",15,9.31538
25.25,391,23.23,37.225,"GRA",15,10.1587
14.843,833.51,8.144,26.131,"GRA",30,22.8785
17.66,82.79,7.109,28,"GRA",1,10.7743
21.76,817,14.741,35.45,"GRA",15,26.6174
34.4,586,34.273,25.6,"GRA",8,5.97306
26.89,879.06,18.155,56.872,"GRA",12,33.8693
20.3,496.09,7.258,42.759,"GRA",14,21.4081
20.82,601.433,16.744,28.773,"GRA",17,21.2199
24.26,497.867,21.031,28.723,"GRA",17,19.4336
18.664,847.87,11.056,59.093,"GRA",12,50.596
32.4,1061,23.836,12.1,"GRA",4,16.7699
19.939,844.92,10.197,41.31,"GRA",14,19.2144
24.2,842,15.98,33,"GRA",37,22.7306
18.581,499.01,7.327,46.085,"GRA",12,29.3377
14.3,803,8.59,44.7,"GRA",37,27.8943
15.023,484.833,7.596,25.503,"GRA",17,17.1291
22.054,544.5,12.507,30.291,"GRA",14,15.0677
19.67,73.203,8.85,44.96,"GRA",17,4.3899
26.72,451,7.367,18.1,"GRA",4,16.0741
28.153,762.958,19.64,24.953,"GRA",1,35.8975
19.74,943,11.53,24.43,"GRA",41,27.842
30,610,14.006,13.5,"GRA",4,19.9487
15.99,758.7,12.748,44.71,"GRA",17,16.7571
30.46,523.131,29.17,10.11,"GRA",38,12.5702
17.358,849.66,12.16,11.641,"GRA",41,9.54112
21.463,220.667,9.584,43.043,"GRA",17,13.74
15.47,694.3,7.117,23.325,"GRA",15,36.2719
16.42,490.83,6.952,41.05,"GRA",17,22.4989
22.096,831.59,10.146,36.063,"GRA",14,31.5188
27.327,587.68,22.307,44.687,"GRA",12,13.1885
21.74,231.98,14.377,28.99,"GRA",17,11.5582
30.89,549,25.008,25.3,"GRA",8,5.30873
24.5,205.1,10.47,45.9,"GRA",37,10.4107
28.54,761,13.265,25,"GRA",8,3.99119
14.831,393.33,5.344,36.229,"GRA",30,20.8516
28.49,494,10.503,18,"GRA",4,23.8614
33.13,813,18.752,9.6,"GRA",4,30.8845
8.81,292.03,5.224,38.22,"GRA",17,10.7012
23.79,70.89,14.336,27,"GRA",1,11.9099
15.098,745,6.346,58.406,"GRA",12,34.711
15.036,623.14,5.797,57.721,"GRA",12,29.6469
16.21,129.8,8.326,30.5,"GRA",15,8.41631
25.628,989.78,22.42,14.602,"GRA",41,7.53336
15.828,860.83,5.791,44.978,"GRA",30,23.963
21.71,932.59,16.192,33,"GRA",1,34.1301
20.178,356.053,6.642,29.166,"GRA",1,36.4197
29.08,885,23.089,21.35,"GRA",15,20.5939
20.326,343.69,10.938,26.413,"GRA",14,17.9902
30.63,619.826,36.62,8.18,"GRA",38,6.84777
21.24,473.161,7.364,45,"GRA",1,39.5206
28.76,199,9.484,13.8,"GRA",4,12.7594
26.79,903,24.08,18,"GRA",43,6.72647
12.25,585.6,9.627,35.061,"GRA",27,1.83257
17.568,348.07,11.838,50.649,"GRA",14,22.3022
23.2,200.7,7.17,32.701,"GRA",37,16.0847
22.4,116.2,9.09,34.3,"GRA",37,5.50307
9.078,115.95,7.367,35.096,"GRA",30,4.88643
19.9,525.6,11.43,31.7,"GRA",37,24.2936
13.34,699.3,8.716,31.618,"GRA",33,7.83836
20.616,114.53,5.13,33.088,"GRA",14,10.5923
28.89,986,26.08,21,"GRA",43,4.20059
19.58,414.79,6.932,43.67,"GRA",17,29.2529
20.245,845.717,16.595,31.108,"GRA",1,44.2911
18.48,395.69,10.758,40.1,"GRA",17,21.719
20.67,382.6,7.408,25.25,"GRA",15,13.9716
17.797,431.29,12.162,50.766,"GRA",12,28.0794
16.261,770,7.26,17.637,"GRA",41,18.0224
19.55,417.22,12.879,37,"GRA",1,5.05604
23.38,180.07,12.965,32.88,"GRA",17,9.65919
16.846,631.94,8.768,38.805,"GRA",30,18.0626
22,830.59,8.74,40.075,"GRA",30,20.6323
14.36,477.3,8.91,26.59,"GRA",41,9.65395
16.188,586.12,7.024,24.959,"GRA",30,25.2094
10.43,64.61,5.311,38.06,"GRA",1,10.2938
14.45,846.59,5.51,28.355,"GRA",41,6.34707
19.817,178.4,6.026,35.843,"GRA",17,13.3252
23.28,343.31,6.14,46.228,"GRA",12,27.155
18.69,519.81,12.927,33,"GRA",1,37.5326
30.64,918,15.849,18.7,"GRA",4,29.5483
16.757,232.8,9.46,32.78,"GRA",17,14.1277
14.849,562.68,7.444,55.498,"GRA",30,12.8087
20.911,601.88,7.851,27.794,"GRA",30,17.5149
11.24,468.267,5.308,38.36,"GRA",17,18.3648
18.25,270.33,8.064,25.2,"GRA",17,17.3501
25.56,729.05,19.903,32.948,"GRA",12,15.5755
