"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
30.24,360,15.921,18.9,"WSA",7,12.2816
33,367,27.673,15.2,"WSA",7,13.4791
32.27,444,18.35,15.5,"WSA",7,20.0882
24.58,604.174,20.75,32.9,"WSA",40,5.22119
17.38,355.22,10.444,33.896,"CSH",31,6.02731
31.35,932,17.419,15.5,"WSA",7,13.5326
25.65,223.1,7.245,13.6,"SAV",36,14.2295
20.54,332.48,8.754,30.322,"CSH",31,6.71878
16.63,353.2,6.835,32.394,"CSH",31,8.27755
27.88,415.4,21.79,7,"OSH",42,4.90489
29.48,679.1,18.712,12.1,"SAV",36,12.0154
14.88,395.825,5.31,31.4,"WSA",40,22.3086
15.794,552.76,7.682,25.861,"OSH",22,2.30771
12.9,863,11.43,26,"OSH",11,3.28922
11.3,359.841,8.07,24.6,"WSA",40,9.29352
29.5,823,17.151,13.8,"SAV",36,17.2418
31.65,243,17.718,15.5,"WSA",7,12.4106
31.07,267,18.498,15.3,"WSA",7,12.4396
34.34,439,39.039,5.1,"SAV",3,4.76311
22.9,787,21.48,22,"OSH",11,4.98213
29.15,216,18.591,14.4,"WSA",7,8.40669
30.02,196,14.447,15.8,"WSA",7,8.75721
19.4,403.1,9.37,21,"OSH",11,11.9089
26.09,648.6,16.59,7.69,"WSA",39,2.13207
33.01,986,27.185,9,"SAV",6,17.6367
30.37,634.5,16.777,12,"SAV",36,10.7049
16.281,743.339,11.59,30.7,"WSA",40,8.37386
26.71,651.491,22.71,21.1,"WSA",40,5.17789
9.57,540.956,5.123,35.983,"OSH",23,0.456516
23.822,627.141,21.232,16.327,"OSH",23,3.97899
33.09,997,21.239,18.9,"WSA",7,24.5577
11.2,300.199,6.72,31.7,"WSA",40,2.53986
32.78,860.333,20.376,14.2,"WSA",7,37.4355
12.05,616.501,8.73,29.5,"WSA",40,10.3863
22.77,286.6,8.98,10,"OSH",42,3.50759
34.93,656,31.373,8,"SAV",6,16.9276
31.63,994,24.685,12.8,"SAV",36,14.1505
9.49,463.66,6.267,30.588,"CSH",31,8.67512
15.72,185.351,10.22,33.043,"OSH",10,6.59682
29.463,830.465,26.96,31.274,"OSH",10,11.9241
31.23,934,28.683,13.1,"WSA",7,11.5784
22.42,343,7.18,7,"OSH",42,8.88735
20.8,578.2,15.64,21,"OSH",11,3.49761
36.93,665,39.391,11.6,"WSA",7,20.9935
32.41,849,21.903,16,"WSA",7,27.3724
24.98,700.4,23.42,6.27,"WSA",39,4.06367
30.44,595,14.798,16.3,"WSA",7,22.0909
32.35,1010,37.352,12,"SAV",6,13.2052
32.46,447,23.917,12.1,"WSA",7,12.2513
12.2,813,9.72,25,"OSH",11,9.88784
27.89,929,22.91,9,"OSH",42,2.78359
32.32,302.7,36.74,10,"OSH",42,1.81918
32.9,825,28.519,11.6,"WSA",7,22.4445
27.5,906,23.87,12.6,"WSA",7,13.1419
26.68,63,6.65,20.6,"WSA",7,9.39697
24.04,133,7.181,12.3,"WSA",7,4.709
34.19,480,29.037,12.5,"WSA",7,6.01917
31.83,916.302,36.48,16.7,"WSA",40,9.26362
14.858,1020.34,11.121,22.692,"OSH",23,4.03696
23.42,908.747,14.49,24.2,"WSA",40,10.9982
13.182,526.625,10.786,22.041,"OSH",23,0.617854
24.49,680.699,19.06,22.701,"OSH",10,7.30787
32.2,111,22.607,12.4,"WSA",7,3.19574
31.81,1051,34.42,8,"OSH",42,8.54568
28.48,999,22.76,12,"OSH",42,1.28502
24.44,930.616,18.25,27.501,"WSA",40,9.35107
30.59,148,13.17,10.6,"WSA",7,3.62785
10.696,406.64,5.888,25.397,"OSH",22,1.24255
23.58,253,8.44,18.4,"SAV",2,3.53141
35.41,668,30.49,16.9,"WSA",7,23.8458
16.5,396.8,7.62,23,"OSH",11,6.16031
13.82,299.12,6.259,36.53,"CSH",31,8.77914
34.49,830,24.604,10.6,"WSA",7,22.7985
30.54,809,14.883,17.5,"WSA",7,20.3662
32.29,921,19.338,11.2,"WSA",7,21.6333
22.455,336.85,8.15,7.5,"OSH",42,0.929183
13.82,632.604,5.8,37,"WSA",40,7.11819
19.25,932.38,5.671,30.02,"CSH",31,14.2753
20.96,419.483,10.38,28.7,"WSA",40,7.43136
10.245,247.068,5.359,15.235,"OSH",23,2.39924
27.14,232.8,13.915,12.6,"SAV",36,3.97205
17.444,320.528,8.917,28.274,"OSH",22,2.01682
29.75,916,14.643,21.8,"WSA",7,25.4847
20.43,711.53,11.7,17.3,"WSA",40,15.2983
16.13,118.551,11.173,20.102,"OSH",23,1.52401
24.28,658,22.157,6.6,"SAV",3,0.764725
19.53,411,8.405,15,"SAV",2,2.04008
34.08,621,29.394,12.4,"WSA",7,17.6571
