"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
28.92,399,12.762,9,"SAV",6,11.7702
28.81,67,12.285,12.2,"WSA",7,3.26178
31.73,759,17.33,17.3,"WSA",7,14.6518
25.3,132.2,6.161,11.7,"SAV",36,4.14813
16.541,322.556,9.981,23.23,"OSH",22,1.793
37.25,317,41.355,14,"SAV",6,2.28361
29.32,316,11.02,17.1,"WSA",7,16.7851
26.1,864,20.632,11,"SAV",6,12.9627
32.41,948,31.637,8.4,"SAV",6,19.8779
33.06,1101,23.727,11.2,"WSA",7,29.3706
23.15,676.54,19.55,26.3,"WSA",40,17.96
27.05,867,20.07,7,"OSH",42,4.17911
12.9,730,11.09,24,"OSH",11,0.565247
31.64,589,18.174,14.3,"WSA",7,19.1312
26.37,499.5,17.6,8.31,"WSA",39,5.942
30.38,802,19.827,11.8,"SAV",36,12.084
28.73,681,12.228,18.1,"WSA",7,27.521
20.71,851.604,12.772,21.276,"OSH",23,5.87248
30.94,1122,18.361,17.7,"WSA",7,19.1632
26.49,575,7.614,26,"WSA",7,20.8036
16.676,468.39,6.92,20.792,"OSH",22,3.64384
29.65,434,11.647,17.6,"WSA",7,19.8475
27.882,115.605,23.9,29.448,"OSH",10,3.09306
32.2,588,16.835,12.2,"WSA",7,21.8086
28.5,578,13.623,15.8,"WSA",7,17.7478
14.29,427.95,8.147,35.821,"CSH",31,6.6576
17.8,716.699,10.36,26.901,"WSA",40,13.0787
27.78,368,9.705,17.6,"WSA",7,19.8088
29.11,236,10.484,15.4,"WSA",7,13.6346
9.57,403.976,5.81,34.4,"WSA",40,2.72787
29.56,681,15.725,18.5,"WSA",7,15.9251
32.79,840,31.824,13.4,"WSA",7,5.90415
23.92,59.64,9.36,9,"OSH",42,0.351171
31.61,632,16.283,17.2,"WSA",7,29.2037
32.89,670,29.003,17.9,"WSA",7,4.91576
23.497,774.098,23.641,14.754,"OSH",23,1.35661
34.55,882,30.72,7,"SAV",6,6.76727
31.68,356,18.683,15.7,"WSA",7,16.041
31.65,811,20.982,17.1,"WSA",7,24.0079
32.28,173,25.608,11.5,"WSA",7,1.54541
17.44,902.981,7.39,36.6,"WSA",40,15.5915
26.26,677,15.12,8,"OSH",42,7.05935
28.3,685.5,20.75,8.96,"WSA",39,5.96154
30.13,516,14.538,17.7,"WSA",7,27.0976
29.99,284.5,31.53,9.33,"WSA",39,1.71782
21.2,258.2,11.83,19,"OSH",11,6.63955
29.08,240,10.466,11.5,"WSA",7,9.68637
21.977,687.487,21.407,24.466,"OSH",23,1.92025
33.51,532.6,38.85,6.43,"WSA",39,10.4109
27.7,368,5.945,15.4,"WSA",7,25.3574
