"Tair","SW","VPD","SWC","Landcover","Site_ID","GPP"
25.99,793.7,20.29,9,"GRA",43,7.54954
24.234,243.4,10.805,24.4,"GRA",37,9.98109
24.9,769,14.86,29.1,"GRA",37,21.5886
27.5,809,26.43,5.89,"GRA",41,17.1597
27.7,490.957,20.7,4.88,"GRA",38,5.87082
24.6,401.4,11.62,14.4,"GRA",37,9.94018
13.613,768.567,5.625,15.453,"GRA",33,21.1301
10.37,795.7,7.746,28.831,"GRA",33,11.8789
30.04,858,17.441,7,"GRA",4,25.3886
14.474,686.87,7.08,8.294,"GRA",41,19.8081
24.8,256.601,11.32,14.2,"GRA",37,8.16177
23.474,73.753,12.63,8.67,"GRA",43,0.103589
15.06,348.7,6.79,28.37,"GRA",33,11.1511
21,341.6,14.36,14.1,"GRA",37,17.3713
28.4,233.7,28.71,22.2,"GRA",37,9.08105
27,619.3,11.21,24.3,"GRA",37,21.3019
28.144,879.28,23.2,7.437,"GRA",41,21.0896
21.026,526.273,8.56,10,"GRA",43,2.78896
21.508,943.72,14.57,3.635,"GRA",41,4.81123
23.8,109.2,10.2,10.17,"GRA",43,1.98139
26.385,674.9,20.562,15.95,"GRA",17,10.8557
25.4,84.77,21.053,10,"GRA",1,11.1457
30.49,593,35.356,10.8,"GRA",8,8.43795
32.02,817,30.516,14.367,"GRA",15,10.2522
15.81,587.2,10.72,7.009,"GRA",41,12.3658
25.64,305.6,18.55,3,"GRA",43,6.20329
32.515,828.47,37.78,7.307,"GRA",41,7.60532
19.41,876,15.47,4.627,"GRA",41,6.21687
34.21,605.9,46.09,13.167,"GRA",15,8.94394
25.6,866,15.3,28.1,"GRA",37,25.9012
25.43,563.3,22.51,9,"GRA",43,1.40429
23.343,644.906,21.41,2.33,"GRA",43,3.56404
26.99,554.2,25.98,13,"GRA",43,11.3533
19.133,707.58,10,6.731,"GRA",41,17.2056
12.65,603.751,8.02,1,"GRA",43,1.27459
25.05,359.826,25.23,5.35,"GRA",38,4.75046
26.69,500,12.607,5.3,"GRA",8,13.0192
27.14,436.5,28.69,14.001,"GRA",43,3.91386
32.58,421,40.296,6.1,"GRA",8,5.84029
25.77,916,15.86,10,"GRA",43,8.22735
31.18,977,33.596,11.1,"GRA",8,6.46547
15.77,1043,14.89,9,"GRA",43,4.37032
13.15,948.495,7.747,11.778,"GRA",33,14.5935
22.68,992,24.72,13,"GRA",43,5.80955
